id,region,municipality,settlement,type,population,children,latitude_dms,longitude_dms,latitude_dd,longitude_dd,oktmo,dadata,rosstat,Index_2000,Index100_2000,Value_2000,Index_2001,Index100_2001,Value_2001,Index_2002,Index100_2002,Value_2002,Index_2003,region_id
53946,Свердловская область,Верхнесалдинский городской округ,Верхняя Салда,г,45737,8908,58.02.48,060.33.22,58.0466666666667,60.5561111111111,65708000001.0,0,1,-1.45462818865774,66.8419828531104,7337.11878849709,3.35322685383932,71.1400760673468,7331.29110360651,-2.65692991791292,65.1909284493307,7337.70121866883,-0.0814286922541153,68
112304,Кемеровская область,Берёзовский,Березовский,г,45801,9302,55.40.00,086.15.00,55.6666666666667,86.25,32710000001.0,0,1,0.679732887655739,25.6836742599145,3152.29887434223,4.81069730609458,32.0184265485306,3145.87335622926,-1.67218412088765,27.0264347065472,3152.03847259041,-0.0556804415960447,45
144049,Ханты-Мансийский автономный округ - Югра,Лангепас,Лангепас,г,45804,11359,61.15.13,075.10.51,61.2536111111111,75.1808333333333,71872000001.0,0,1,2.85651507322445,2.05382527621822,6682.43493601449,5.81213787718478,9.76596986890618,6675.67159160394,-0.23185329487158,5.27135700075556,6682.05893464878,1.06090199283667,83
44163,Смоленская область,Сафоновский район,Сафоново,г,45919,7378,55.06.25,033.14.24,55.1069444444444,33.24,66641101001.0,0,1,0.927436344060234,40.1159114493885,4645.0888590466,4.31169686533409,47.0029409323881,4637.19659753988,-2.32891202099342,43.7345480433993,4642.48410902922,0.469494087035144,69
118709,Ярославская область,Тутаевский район,Тутаев,г,46068,9083,57.52.08,039.31.51,57.8688888888889,39.5308333333333,78643101001.0,0,1,1.05990626535136,58.148268034946,6508.75047021022,3.88871451637768,66.4151949574397,6500.16654406195,-2.91984982734105,62.8110135987247,6505.9048323819,0.695323506930007,77
17316,Тверская область,Город Вышний Волочёк,Вышний Волочек,г,46211,8937,57.34.06,034.32.25,57.5683333333333,34.5402777777778,28714000001.0,1,0,-0.19516986413205,93.4448391279781,7862.96305590526,1.61177108260535,103.123124143482,7855.59414701368,-3.54452510407646,100.204752798016,7859.78770241119,-1.74278889219491,71
69363,Алтайский край,Заринск,Заринск,г,46597,10426,53.42.23,084.55.54,53.7063888888889,84.9316666666667,1706000001.0,0,1,4.39640287265062,92.741243375712,9021.92197314005,5.02364178591622,103.603029043971,9014.93479435566,0.556299284357545,100.2121748035,9019.74105361122,0.808096006540121,23
36253,Липецкая область,Грязинский район,Грязи,г,46608,9695,52.29.01,039.57.28,52.4836111111111,39.9577777777778,42606101001.0,0,1,1.53505173471871,5.53443557535918,5278.69827499873,1.62272833892798,15.4281268962298,5272.1752173887,-4.34033557299578,12.4133932183274,5277.03370691409,-3.165693991766,51
142900,Самарская область,Отрадный,Отрадный,г,47083,8161,53.22.34,051.20.56,53.3761111111111,51.3488888888889,36724000001.0,0,1,-1.18468373213934,50.1328067468709,1582.39595277395,-1.20759867578375,49.9832503242477,1582.36212084103,-1.59808206738223,49.926492417015,1581.5246046243,-1.91980865336896,65
110185,Московская область,Дзержинский,Дзержинский,г,47163,9021,55.37.51,037.50.59,55.6308333333333,37.8497222222222,46711000001.0,0,1,1.66717991007122,39.2559829662687,2697.69045860349,2.74625309969191,40.7868799118735,2696.26539641575,2.49965702801463,39.3411564141226,2696.13708789886,2.20816449454743,53
89375,Орловская область,Город Ливны,Ливны,г,47179,8430,52.25.36,037.36.29,52.4266666666667,37.6080555555556,54705000001.0,0,1,-0.308849808227938,39.230931349098,1347.86877253215,2.74572864580265,39.3005375603649,1345.53641383288,0.521366443145854,38.0097742128372,1344.36619169146,1.49998155468072,60
25400,Ленинградская область,Кингисеппский муниципальный район,Кингисепп,г,47312,8400,59.22.27,028.36.41,59.3741666666667,28.6113888888889,41621101001.0,0,1,-0.997144750196588,32.3978736365531,2377.39911298137,2.31850618410707,31.9775604017402,2375.5915491129,-0.686721997726157,30.9733805129013,2374.43251074974,0.187864182505685,50
38440,Смоленская область,Ярцевский район,Ярцево,г,47709,7782,55.04.07,032.41.23,55.0686111111111,32.6897222222222,66658101001.0,0,1,2.1913501938726,69.2494051523837,7232.41506401207,3.93351773265188,68.8271829294225,7229.56587591746,1.10690597795909,67.4719127123506,7229.56722831959,2.71472923641283,69
43836,Ханты-Мансийский автономный округ - Югра,Мегион,Мегион,г,48348,12691,61.01.55,076.06.09,61.0319444444444,76.1025,71873000001.0,0,1,-1.70282794967419,29.7499420186583,6272.78813693877,1.20119814725288,30.2645828962065,6269.6247837561,-3.45203989928208,27.4459434459269,6271.0736069669,-1.59463395104001,83
72857,Ростовская область,Город Донецк,Донецк,г,48428,8331,48.20.06,039.56.46,48.335,39.9461111111111,60717000001.0,0,1,-0.491123366601642,40.1566360535218,4525.35403727497,2.655561650148,41.1107736161979,4522.85386067364,-2.05726792572106,39.3748166092237,4523.70556526577,-1.10653219067943,63
120992,Краснодарский край,Курганинский район,Курганинск,г,48439,10555,44.53.16,040.35.29,44.8877777777778,40.5913888888889,3627101001.0,0,1,1.54472975607404,100.110214530324,6346.14702900868,4.28583017779639,101.108530830371,6342.73663779757,-0.125566558219719,97.8081181681579,6342.56509194389,1.8221147701038,26
64375,Иркутская область,Шелеховский район,Шелехов,г,48460,13094,52.12.37,104.05.51,52.2102777777778,104.0975,25655101001.0,0,1,-1.1236209954447,80.7750865291283,5298.82950322784,1.35264403396611,81.0769581131609,5293.83139554333,-1.82323388738682,78.5785888587603,5296.87232429637,0.994516624915462,42
2500,Оренбургская область,Бугуруслан,Бугуруслан,г,48669,10696,53.39.08,052.25.57,53.6522222222222,52.4325,53708000001.0,0,1,-1.97163174831767,32.9351705896247,3305.66156113123,2.25626562000266,33.4069158336859,3300.42291320358,-1.48287237616939,30.4162145750857,3303.68245667204,2.14153441300306,59
112188,Удмуртская республика,Можга,Можга,г,49093,12779,56.26.34,052.12.50,56.4427777777778,52.2138888888889,94730000001.0,0,1,-3.94448487370802,82.8253524716512,7710.75485008345,2.46862361142885,84.5705142618788,7705.5132499701,-2.41802777068922,81.3470318465466,7710.54597787594,1.16385860704888,19
