id,region,municipality,settlement,type,Population,Children,latitude_dms,longitude_dms,latitude_dd,longitude_dd,oktmo,dadata,rosstat,Index_2000,region_id
109848,Ставропольский край,Нефтекумский район,Нефтекумск,г,25152,6043,44.45.16,044.59.12,44.7544444444444,44.9866666666667,7725000001.0,0,1,-1.20359523261336,30
116735,Ленинградская область,Кировский муниципальный район,Отрадное,г,25421,3441,59.46.21,030.47.56,59.7725,30.7988888888889,41625104001.0,0,1,0.145276853415448,50
30515,Тульская область,Кимовский район,Кимовск,г,25727,5056,53.58.11,038.32.17,53.9697222222222,38.5380555555556,70626101001.0,0,1,1.59669192147617,73
5944,Рязанская область,Город Сасово,Сасово,г,25747,4213,54.20.38,041.55.15,54.3438888888889,41.9208333333333,61710000001.0,0,1,1.28909776191369,64
60004,Республика Башкортостан,Янаульский,Янаул,г,25747,6902,56.15.54,054.55.47,56.265,54.9297222222222,80659101001.0,0,1,-0.155050874353708,2
36872,Московская область,Озёры,Озеры,г,25800,4855,54.51.14,038.33.35,54.8538888888889,38.5597222222222,46756000001.0,0,1,-0.146662183537956,53
43412,Ростовская область,Морозовский,Морозовск,г,25830,5472,48.21.04,041.49.51,48.3511111111111,41.8308333333333,60634101001.0,0,1,2.13978963147291,63
107758,Тюменская область,Заводоуковский район,Заводоуковск,г,25832,7007,56.30.03,066.32.54,56.5008333333333,66.5483333333333,71703000001.0,0,1,-1.45162651420896,74
139227,Оренбургская область,Соль-Илецкий городской округ,Соль-Илецк,г,25975,6558,51.09.43,054.58.49,51.1619444444444,54.9802777777778,53725000001.0,0,1,-2.47434631334145,59
18644,Кемеровская область,Полысаевский,Полысаево,г,26012,6283,54.36.20,086.16.51,54.6055555555556,86.2808333333333,32732000001.0,0,1,-1.0534654101689,45
98520,Ямало-Ненецкий автономный округ,Лабытнанги,Лабытнанги,г,26211,6231,66.39.34,066.23.18,66.6594444444444,66.3883333333333,71953000001.0,0,1,-3.02204997548245,85
117875,Тульская область,Киреевский район,Киреевск,г,26217,3975,53.55.55,037.55.20,53.9319444444444,37.9222222222222,70628101001.0,0,1,-2.82564546173101,73
41194,Ставропольский край,Кировский район,Новопавловск,г,26221,5429,43.57.27,043.37.55,43.9575,43.6319444444444,7716000001.0,0,1,0.152338471708807,30
81431,Московская область,Красноармейск,Красноармейск,г,26294,5048,56.07.15,038.08.26,56.1208333333333,38.1405555555556,46743000001.0,0,1,-1.80836014778463,53
56660,Республика Крым,Красноперекопский район,Красноперекопск,г,26349,5506,45.57.13,033.47.32,45.9536111111111,33.7922222222222,35000000.0,1,0,-1.91602449619746,12
123760,Республика Крым,Красноперекопск,Красноперекопск,г,26349,5506,45.57.13,033.47.32,45.9536111111111,33.7922222222222,35718000001.0,0,1,0.573412231176634,12
69201,Республика Коми,МР Сосногорск,Сосногорск,г,26366,6616,63.35.56,053.52.35,63.5988888888889,53.8763888888889,87626122001.0,1,0,0.529148074532978,11
78376,Ленинградская область,Кировский муниципальный район,Кировск,г,26387,1477,59.52.31,030.58.53,59.8752777777778,30.9813888888889,41625101001.0,0,1,0.640925747926722,50
10411,Брянская область,Дятьковский район,Дятьково,г,26483,4980,53.35.50,034.20.23,53.5972222222222,34.3397222222222,15616104001.0,0,1,0.932936443106291,36
63631,Самарская область,Октябрьск,Октябрьск,г,26512,4595,53.09.51,048.40.14,53.1641666666667,48.6705555555556,36718000001.0,0,1,3.98618067663043,65
65919,Свердловская область,Камышловский городской округ,Камышлов,г,26569,5868,56.50.48,062.42.43,56.8466666666667,62.7119444444444,65741000.0,1,0,2.87453542423549,68
25054,Новосибирская область,Карасукский район,Карасук,г,26673,7653,53.44.03,078.02.33,53.7341666666667,78.0425,50617101001.0,0,1,0.596922558350098,57
693,Воронежская область,Семилукский район,Семилуки,г,26805,4951,51.41.14,039.01.38,51.6872222222222,39.0272222222222,20649101001.0,0,1,1.9994967780784,40
142440,Нижегородская область,Семёновский,Семенов,г,26856,6004,56.47.29,044.29.02,56.7913888888889,44.4838888888889,22737000001.0,0,1,0.756033841121274,55
57535,Оренбургская область,Сорочинск,Сорочинск,г,26859,6678,52.25.45,053.09.04,52.4291666666667,53.1511111111111,53727000001.0,1,0,-1.51161934516217,59
116902,Ставропольский край,Новоалександровский район,Новоалександровск,г,26894,5780,45.29.36,041.12.55,45.4933333333333,41.2152777777778,7726000001.0,0,1,-0.15084097702846,30
117518,Астраханская область,ЗАТО Знаменск,Знаменск,г,26934,5887,48.35.12,045.44.13,48.5866666666667,45.7369444444444,12719000001.0,0,1,2.05465533897155,34
6859,Свердловская область,Североуральский городской округ,Североуральск,г,27062,5313,60.09.12,059.57.09,60.1533333333333,59.9525,65755000001.0,0,1,0.899558217764024,68
115136,Кабардино-Балкарская республика,Майский район,Майский,г,27074,6136,43.37.42,044.03.06,43.6283333333333,44.0516666666667,83620101001.0,0,1,1.8420628531594,7
128956,Республика Карелия,Сегежский,Сегежа,г,27108,5236,63.44.37,034.18.45,63.7436111111111,34.3125,86645101001.0,0,1,-0.536057111000168,10
30647,Владимирская область,Киржачский,Киржач,г,27157,4999,56.09.42,038.52.19,56.1616666666667,38.8719444444444,17630101001.0,0,1,-0.168834455958499,37
116447,Рязанская область,Город Скопин,Скопин,г,27348,4061,53.49.25,039.32.58,53.8236111111111,39.5494444444444,61715000001.0,0,1,-2.48971140853657,64
54686,Калужская область,Боровский,Балабаново,г,27396,5473,55.10.39,036.39.24,55.1775,36.6566666666667,29606105001.0,0,1,-0.598546394047958,44
152413,Сахалинская область,Холмский городской округ,Холмск,г,27479,5637,47.02.27,142.02.30,47.0408333333333,142.041666666667,64754000001.0,0,1,-3.53766186820005,67
82769,Свердловская область,городской округ Заречный,Заречный,г,27608,5219,56.48.37,061.20.17,56.8102777777778,61.3380555555556,65737000001.0,0,1,-1.85457377370634,68
95122,Свердловская область,Кушвинский городской округ,Кушва,г,27624,6485,58.16.57,059.45.53,58.2825,59.7647222222222,65748000001.0,0,1,-2.20202521470485,68
24973,Челябинская область,Верхнеуфалейский,Верхний Уфалей,г,27879,6314,56.02.55,060.13.55,56.0486111111111,60.2319444444444,75706000001.0,0,1,-1.14513942727422,76
108871,Кемеровская область,Топкинский район,Топки,г,27880,7365,55.16.35,085.36.55,55.2763888888889,85.6152777777778,32531000001.0,0,1,2.85537675116911,45
89260,Омская область,Тарский район,Тара,г,27965,6838,56.54.07,074.22.19,56.9019444444444,74.3719444444444,52654101001.0,0,1,-0.218313901019164,58
17562,Самарская область,Похвистнево,Похвистнево,г,28044,4861,53.38.59,052.07.25,53.6497222222222,52.1236111111111,36727000001.0,0,1,1.85747805482466,65
32170,Ханты-Мансийский автономный округ - Югра,Советский район,Советский,г,28087,6973,61.22.11,063.33.38,61.3697222222222,63.5605555555556,71824104001.0,0,1,2.70445257341212,83
95504,Красноярский край,Дивногорск,Дивногорск,г,28272,5369,55.57.28,092.22.48,55.9577777777778,92.38,4709000001.0,1,0,0.941918402462001,27
31142,Калининградская область,Город Гусевский,Гусев,г,28342,5413,54.35.31,022.12.04,54.5919444444444,22.2011111111111,27709000001.0,0,1,2.01248173655125,43
23368,Новгородская область,Старорусский муниципальный район,Старая Русса,г,28464,5503,57.59.27,031.21.20,57.9908333333333,31.3555555555556,49639101001.0,0,1,-0.455957446629572,56
20339,Саратовская область,Петровский район,Петровск,г,28526,5349,52.18.50,045.23.24,52.3138888888889,45.39,63635101001.0,0,1,-1.45164257327465,66
131226,Ямало-Ненецкий автономный округ,Губкинский,Губкинский,г,28564,7063,64.25.57,076.30.02,64.4325,76.5005555555556,71952000001.0,0,1,-1.87067696212671,85
86266,Челябинская область,Карталинский район,Карталы,г,28577,6296,53.03.13,060.38.52,53.0536111111111,60.6477777777778,75623101001.0,0,1,1.61782148399566,76
142686,Новосибирская область,Барабинский район,Барабинск,г,28786,6492,55.21.01,078.20.31,55.3502777777778,78.3419444444445,50604101001.0,0,1,2.5582288812767,57
45508,Республика Коми,ГО Инта,Инта,г,28831,5157,66.02.12,060.06.55,66.0366666666667,60.1152777777778,87715000001.0,0,1,-1.28244457639879,11
7346,Мурманская область,Городской округ город Кировск с подведомственной территорией,Кировск,г,28832,5354,67.36.54,033.39.49,67.615,33.6636111111111,47712000.0,1,0,2.18119617042703,54
27929,Чувашская республика,Шумерля,Шумерля,г,29071,5786,55.30.01,046.25.29,55.5002777777778,46.4247222222222,97713000001.0,0,1,1.10397570195982,22
114620,Челябинская область,Еманжелинский район,Еманжелинск,г,29077,6301,54.45.08,061.19.02,54.7522222222222,61.3172222222222,75619101001.0,0,1,-0.445099252400446,76
4211,Московская область,Истринский,Дедовск,г,29108,5229,55.51.36,037.07.14,55.86,37.1205555555556,46733000006.0,0,1,-1.44640016434242,53
13617,Алтайский край,Алейск,Алейск,г,29249,6735,52.29.32,082.46.46,52.4922222222222,82.7794444444445,1703000001.0,0,1,-1.81441253613277,23
42780,Республика Крым,Алушта,Алушта,г,29275,0,44.40.35,034.24.36,44.6763888888889,34.41,35703000001.0,0,1,-3.92451720954261,12
107739,Свердловская область,городской округ Карпинск,Карпинск,г,29291,6539,59.46.00,060.00.04,59.7666666666667,60.0011111111111,65742000001.0,0,1,-2.92159731505101,68
20608,Свердловская область,городской округ Богданович,Богданович,г,29311,6877,56.46.35,062.02.47,56.7763888888889,62.0463888888889,65707000001.0,0,1,-0.260297238381592,68
109978,Тамбовская область,Город Котовск,Котовск,г,29377,5201,52.35.35,041.30.21,52.5930555555556,41.5058333333333,68710000001.0,0,1,-1.31407787514029,70
